year_month_day,ma_20,ma_50,rsi,macd,macd_signal,bb_high,bb_low,roc,not,red_green,close
2017-11-02,6505.487999999999,6104.469999999999,76.55873217718965,452.9468686924256,385.6157167502944,6730.445719595595,5177.213280404407,16.51477102790552,20222,green,7019.98
2017-11-03,6694.5,6268.271,77.43290745649588,492.69918126147513,407.03240965253053,6941.234641580811,5090.92935841919,19.58010225175713,15375,green,7115.04
2017-11-04,6941.817999999999,6434.981,79.52654073681029,537.5381819208551,433.1335641061955,7179.963724054449,5016.910275945551,24.360666877397126,13395,green,7357.09
2017-11-05,7118.219999999999,6583.305,79.13197123048663,565.5790151221272,459.6226543093818,7374.541444231317,4980.831555768685,34.105710576717684,11090,red,7345.01
2017-11-06,7159.447999999999,6702.433999999999,67.62019764722048,550.399508198655,477.7780250872365,7457.702359177942,5034.182640822059,22.322183343028726,13525,red,6960.12
2017-11-07,7168.26,6836.873999999999,68.93426922722591,540.5242875811336,490.32727758601595,7536.148417451383,5110.934582548618,20.51035779295331,13132,green,7064.04
2017-11-08,7205.852000000001,6950.1759999999995,71.7711956236979,545.6898066120666,501.3997833912261,7651.188213733166,5157.804786266833,26.59412740538376,24381,green,7303.0
2017-11-09,7150.432000000001,7046.125,65.73775333404419,525.7282069170751,506.2654680963959,7724.062651085967,5191.9283489140325,23.783839542348808,13818,red,7079.99
2017-11-10,6982.825999999999,7050.522999999999,53.331947684078735,458.38737288918037,496.6898490549528,7732.528074994854,5231.663925005145,5.461930184538686,18889,red,6506.98
2017-11-11,6839.812,6999.63,48.798541022065905,379.5089716093298,473.2536735658282,7728.645833508752,5265.049166491248,2.03496446368761,17840,red,6245.05
2017-11-12,6589.209999999999,6878.735000000001,42.37138198682608,278.76208773925464,434.35535640051353,7734.09724632086,5249.10775367914,-10.08773015627418,31069,red,5811.03
2017-11-13,6421.807999999999,6813.83,52.53166731512075,248.90008940527332,397.2643030014655,7693.557551735014,5388.543448264984,-4.2640043352216,16165,green,6465.99
2017-11-14,6320.808,6735.62,53.98564402913714,231.36262530423028,364.0839674620185,7669.648155182108,5500.952844817893,-6.338906948452842,10476,green,6574.99
2017-11-15,6467.424,6725.125,61.695242125450825,268.0398528569258,344.875144541,7720.918205085619,5587.51179491438,1.7571229395758905,10313,green,7240.06
2017-11-16,6791.314,6815.563,67.24445364240536,343.533864724629,344.60688857772584,7868.103561232222,5649.893438767777,6.8968845018886515,14961,green,7864.5
2017-11-17,7168.946000000001,6879.0779999999995,64.57727935423895,385.5795564759683,352.80142215737436,7931.133326702813,5784.818673297186,4.82204925520863,22012,red,7699.19
2017-11-18,7428.136,6924.972,65.14246469639286,419.13296674865796,366.06773107563106,8030.773782700276,5844.374217299725,11.520203674649283,18383,green,7761.94
2017-11-19,7720.738,7020.772999999999,67.59227238198494,462.6666874267057,385.38752234584604,8159.052480092314,5907.845519907687,13.787577646785692,14897,green,8038.0
2017-11-20,7915.126000000001,7191.275,69.06789479653196,505.38209038042805,409.38643595276244,8324.687712356088,5917.110287643914,12.44693961385732,20101,green,8212.0
2017-11-21,7966.128,7378.7210000000005,67.3133751131956,525.7111144566443,432.65137165353883,8455.26373449984,5923.0872655001585,14.682506613709915,20798,red,8119.51
2017-11-22,8067.473999999999,7618.210000000001,68.12797728070922,542.5405080838027,454.6291989395916,8586.36013837436,5910.584861625641,26.109500874445608,14752,green,8205.92
2017-11-23,8119.084,7773.609999999999,64.40844409466334,534.7111098363202,470.6455811189374,8671.123714253712,5916.316285746287,28.42154986749505,16625,red,8019.99
2017-11-24,8139.084,7929.911,65.68886299841967,531.8972951428641,482.89592392372276,8758.564006121716,5906.966993878282,40.0440197348835,19754,green,8138.0
2017-11-25,8236.686,8075.906,71.03342549232559,568.4639383871036,500.00952681639893,8945.9548061712,5855.0761938288,34.55031634753534,18632,green,8700.01
2017-11-26,8438.388,8202.257999999998,74.31479167756243,624.7780441951309,524.9632302921453,9211.687486331128,5806.133513668872,38.82941266830825,19268,green,9128.02
2017-11-27,8727.204000000002,8397.339000000002,77.6413008219603,703.418234851617,560.6542312040397,9564.305193058506,5712.1118069414915,33.28618823600908,22806,green,9650.0
2017-11-28,9102.566,8610.825,79.02452750303524,776.7025069061119,603.8638863444542,9922.044421633656,5613.752578366344,25.841439379490104,18923,green,9896.8
2017-11-29,9412.542,8775.813,74.80561454931966,808.6016658444632,644.811442244456,10181.920798123834,5614.665201876165,25.82986002423631,47894,red,9687.88
2017-11-30,9640.331999999999,8938.509,75.81130146843915,836.4310163990758,683.1353570753799,10403.699884659172,5726.084115340827,26.759031891511654,41153,green,9838.96
2017-12-01,9971.326000000001,9204.857,80.93291531039517,924.0098977008493,731.3102652004739,10757.420702715535,5826.157297284466,34.15016173177407,32375,green,10782.99
2017-12-02,10219.328,9473.266,81.41337688001741,990.6330109976698,783.1748143599131,10983.09245612326,6108.383543876742,32.61093521675597,29694,green,10890.01
2017-12-03,10473.05,9787.808,82.62660567614141,1053.5105725721278,837.2419660023561,11276.168314482187,6285.249685517814,37.51334748032824,39335,green,11165.41
2017-12-04,10851.274000000001,10131.908,84.28555127365671,1123.7607353718067,894.5457198762463,11594.103459141386,6467.715540858613,41.10544582447794,32232,green,11579.0
2017-12-05,11223.48,10431.905999999999,84.74447319908188,1175.6452704955245,950.765630000102,11928.681368679749,6579.130631320249,45.88534399668828,31317,green,11699.99
